nr	length	ratio
1214	124075	2.54868329
1215	124130	2.54860897
1216	124187	2.54836658
1217	124267	2.54823032
1218	124472	2.54851457
1219	124533	2.54861552
1220	124607	2.54820041
1221	124634	2.54817935
1222	124662	2.54797040
1223	124712	2.54826318
1224	124753	2.54831989
1225	124833	2.54828832
1226	124924	2.54858518
1227	125026	2.54811886
1228	125079	2.54805655
1229	125144	2.54808299
1230	125252	2.54774012
1231	125271	2.54781565
1232	125305	2.54767811
1233	125373	2.54771388
1234	125405	2.54753586
1235	125520	2.54769830
1236	125562	2.54756832
1237	125616	2.54773350
1238	125648	2.54791743
1239	125748	2.54829165
1240	125783	2.54838121
1241	125874	2.54888223
1242	126035	2.54914850
1243	126216	2.54868543
1244	126363	2.54897729
1245	126543	2.54885492
1246	126637	2.54900264
